iter	Passed	Remaining
0	0	58
1	1	55
2	1	51
3	1	47
4	2	46
5	2	45
6	3	44
7	3	44
8	4	43
9	4	42
10	5	41
11	5	41
12	6	41
13	6	40
14	7	40
15	7	40
16	8	39
17	8	39
18	9	38
19	9	38
20	9	37
21	10	36
22	10	36
23	11	35
24	11	35
25	12	35
26	12	34
27	13	34
28	14	34
29	14	34
30	15	34
31	16	34
32	16	33
33	17	33
34	17	32
35	18	32
36	18	31
37	19	31
38	19	30
39	20	30
40	20	29
41	20	28
42	21	28
43	21	27
44	22	27
45	22	26
46	23	26
47	23	25
48	24	25
49	24	24
50	25	24
51	25	23
52	26	23
53	26	22
54	27	22
55	27	21
56	28	21
57	29	21
58	29	20
59	30	20
60	30	19
61	31	19
62	31	18
63	32	18
64	32	17
65	33	17
66	33	16
67	34	16
68	34	15
69	35	15
70	35	14
71	36	14
72	36	13
73	37	13
74	38	12
75	38	12
76	39	11
77	39	11
78	40	10
79	40	10
80	41	9
81	41	9
82	42	8
83	42	8
84	43	7
85	43	7
86	44	6
87	44	6
88	45	5
89	45	5
90	46	4
91	46	4
92	47	3
93	47	3
94	48	2
95	48	2
96	49	1
97	49	1
98	49	0
99	50	0
